AgeBand,Gender,SmokingStatus,BMIBand,ExerciseFreq,PredictedProbability
35-39,F,current,normal,yes,0.01782213
35-39,F,current,obese,no,0.08395117
35-39,F,current,obese,yes,0.04829273
35-39,F,current,over,no,0.04563017
35-39,F,current,over,yes,0.02579040
35-39,F,current,under,no,0.02109226
35-39,F,current,under,yes,0.01178965
35-39,F,former,normal,no,0.03186290
35-39,F,former,normal,yes,0.01789682
35-39,F,former,obese,no,0.08427918
35-39,F,former,obese,yes,0.04848879
35-39,F,former,over,no,0.04581594
35-39,F,former,over,yes,0.02589759
35-39,F,former,under,no,0.02118035
35-39,F,former,under,yes,0.01183936
35-39,F,never,normal,no,0.02848030
35-39,F,never,normal,yes,0.01597241
35-39,F,never,obese,no,0.07576751
35-39,F,never,obese,yes,0.04342034
35-39,F,never,over,no,0.04101483
35-39,F,never,over,yes,0.02313314
35-39,F,never,under,no,0.01890967
35-39,F,never,under,yes,0.01055930
35-39,M,current,normal,no,0.04009534
35-39,M,current,normal,yes,0.02260508
35-39,M,current,obese,no,0.10459136
35-39,M,current,obese,yes,0.06074733
35-39,M,current,over,no,0.05743955
35-39,M,current,over,yes,0.03264073
35-39,M,current,under,no,0.02672893
35-39,M,current,under,yes,0.01497834
35-39,M,former,normal,no,0.04025953
35-39,M,former,normal,yes,0.02269934
35-39,M,former,obese,no,0.10499078
35-39,M,former,obese,yes,0.06099072
35-39,M,former,over,no,0.05767049
35-39,M,former,over,yes,0.03277543
35-39,M,former,under,no,0.02683992
35-39,M,former,under,yes,0.01504129
35-39,M,never,normal,no,0.03601870
35-39,M,never,normal,yes,0.02026919
35-39,M,never,obese,no,0.09460347
35-39,M,never,obese,yes,0.05469057
35-39,M,never,over,no,0.05169443
35-39,M,never,over,yes,0.02929890
35-39,M,never,under,no,0.02397736
35-39,M,never,under,yes,0.01341974
40-44,F,current,normal,no,0.05235390
40-44,F,current,normal,yes,0.02968161
40-44,F,current,obese,no,0.13381968
40-44,F,current,obese,yes,0.07880161
40-44,F,current,over,no,0.07458881
40-44,F,current,over,yes,0.04272159
40-44,F,current,under,no,0.03505013
40-44,F,current,under,yes,0.01971548
40-44,F,former,normal,no,0.05256554
40-44,F,former,normal,yes,0.02980448
40-44,F,former,obese,no,0.13431397
40-44,F,former,obese,yes,0.07911124
40-44,F,former,over,no,0.07488323
40-44,F,former,over,yes,0.04289606
40-44,F,former,under,no,0.03519442
40-44,F,former,under,yes,0.01979793
40-44,F,never,normal,no,0.04709204
40-44,F,never,normal,yes,0.02663439
40-44,F,never,obese,no,0.12141913
40-44,F,never,obese,yes,0.07108099
40-44,F,never,over,no,0.06725081
40-44,F,never,over,yes,0.03838862
40-44,F,never,under,no,0.03146965
40-44,F,never,under,yes,0.01767279
40-44,M,current,normal,no,0.06578348
40-44,M,current,normal,yes,0.03752569
40-44,M,current,obese,no,0.16451857
40-44,M,current,obese,yes,0.09831162
40-44,M,current,over,no,0.09316127
40-44,M,current,over,yes,0.05382067
40-44,M,current,under,no,0.04424828
40-44,M,current,under,yes,0.02499361
40-44,M,former,normal,no,0.06604563
40-44,M,former,normal,yes,0.03767977
40-44,M,former,obese,no,0.16510463
40-44,M,former,obese,yes,0.09868969
40-44,M,former,over,no,0.09352160
40-44,M,former,over,yes,0.05403790
40-44,M,former,under,no,0.04442869
40-44,M,former,under,yes,0.02509758
40-44,M,never,normal,no,0.05925628
40-44,M,never,normal,yes,0.03370115
40-44,M,never,obese,no,0.14976514
40-44,M,never,obese,yes,0.08886389
40-44,M,never,over,no,0.08416230
40-44,M,never,over,yes,0.04841892
40-44,M,never,under,no,0.03976690
40-44,M,never,under,yes,0.02241657
45-49,F,current,normal,no,0.06713915
45-49,F,current,normal,yes,0.03832291
45-49,F,current,obese,no,0.16754406
45-49,F,current,obese,yes,0.10026568
45-49,F,current,over,no,0.09502376
45-49,F,current,over,yes,0.05494430
45-49,F,current,under,no,0.04518162
45-49,F,current,under,yes,0.02553166
45-49,F,former,normal,no,0.06740631
45-49,F,former,normal,yes,0.03848013
45-49,F,former,obese,no,0.16813873
45-49,F,former,obese,yes,0.10065043
45-49,F,former,over,no,0.09539052
45-49,F,former,over,yes,0.05516580
45-49,F,former,under,no,0.04536565
45-49,F,former,under,yes,0.02563780
45-49,F,never,normal,no,0.06048614
45-49,F,never,normal,yes,0.03442002
45-49,F,never,obese,no,0.15256886
45-49,F,never,obese,yes,0.09064905
45-49,F,never,over,no,0.08586190
45-49,F,never,over,yes,0.04943568
45-49,F,never,under,no,0.04060972
45-49,F,never,under,yes,0.02290044
45-49,M,current,normal,no,0.08402509
45-49,M,current,normal,yes,0.04833691
45-49,M,current,obese,no,0.20415600
45-49,M,current,obese,yes,0.12437237
45-49,M,current,over,no,0.11803548
45-49,M,current,over,yes,0.06898999
45-49,M,current,under,no,0.05688183
45-49,M,current,under,yes,0.03231554
45-49,M,former,normal,no,0.08435337
45-49,M,former,normal,yes,0.04853314
45-49,M,former,obese,no,0.20484865
45-49,M,former,obese,yes,0.12483679
45-49,M,former,over,no,0.11847944
45-49,M,former,over,yes,0.06926396
45-49,M,former,under,no,0.05711067
45-49,M,former,under,yes,0.03244895
45-49,M,never,normal,no,0.07583483
45-49,M,never,normal,yes,0.04346027
45-49,M,never,obese,no,0.18664210
45-49,M,never,obese,yes,0.11273333
45-49,M,never,over,no,0.10691705
45-49,M,never,over,yes,0.06216579
45-49,M,never,under,no,0.05118947
45-49,M,never,under,yes,0.02900601
50-54,F,current,normal,no,0.12027448
50-54,F,current,normal,yes,0.07037288
50-54,F,current,obese,no,0.27658222
50-54,F,current,obese,yes,0.17470806
50-54,F,current,over,no,0.16629358
50-54,F,current,over,yes,0.09945734
50-54,F,current,under,no,0.08247568
50-54,F,current,under,yes,0.04741152
50-54,F,former,normal,no,0.12072571
50-54,F,former,normal,yes,0.07065193
50-54,F,former,obese,no,0.27743493
50-54,F,former,obese,yes,0.17532280
50-54,F,former,over,no,0.16688470
50-54,F,former,over,yes,0.09983934
50-54,F,former,under,no,0.08279845
50-54,F,former,under,yes,0.04760419
50-54,F,never,normal,no,0.10897120
50-54,F,never,normal,yes,0.06342121
50-54,F,never,obese,no,0.25484469
50-54,F,never,obese,yes,0.15921500
50-54,F,never,over,no,0.15140982
50-54,F,never,over,yes,0.08991049
50-54,F,never,under,no,0.07442417
50-54,F,never,under,yes,0.04262406
50-54,M,current,normal,no,0.14839840
50-54,M,current,normal,yes,0.08799541
50-54,M,current,obese,no,0.32764329
50-54,M,current,obese,yes,0.21248590
50-54,M,current,over,no,0.20269880
50-54,M,current,over,yes,0.12339634
50-54,M,current,under,no,0.10279382
50-54,M,current,under,yes,0.05965311
50-54,M,former,normal,no,0.14893727
50-54,M,former,normal,yes,0.08833770
50-54,M,former,obese,no,0.32858191
50-54,M,former,obese,yes,0.21319923
